Team,Name,Torneo,Goals,Succ. dribbles,Tackles,Assists,Accurate passes %,Big chances missed,Total shots,Goal conversion %,Interceptions,Clearances,Errors leading to goal,Big chances created,Accurate passes,Key passes,Saves,Clean sheet,Penalties saved,Saves from inside box,Runs out
Independiente Santa Fe,Harold Rivera,Apertura 2023A,0.0,2.0,12.0,1.0,88.61,0.0,11.0,0.0,11.0,7.0,0.0,1.0,358.0,10.0,,,,,
Independiente Santa Fe,Harold Santiago Mosquera,Apertura 2025A,1.0,9.0,6.0,5.0,74.74,2.0,14.0,7.14,0.0,1.0,0.0,2.0,142.0,12.0,,,,,
Independiente Santa Fe,Harold Santiago Mosquera,Clausura 2024B,6.0,12.0,12.0,2.0,75.0,0.0,52.0,11.54,0.0,3.0,0.0,0.0,249.0,21.0,,,,,
Rionegro Águilas Doradas,Harrinson Mancilla,Apertura 2025A,0.0,3.0,8.0,0.0,74.6,0.0,2.0,0.0,5.0,9.0,0.0,0.0,94.0,0.0,,,,,
Rionegro Águilas Doradas,Harrinson Mancilla,Clausura 2024B,0.0,1.0,5.0,0.0,77.55,0.0,0.0,0.0,6.0,7.0,0.0,0.0,76.0,0.0,,,,,
Alianza Petrolera,Harrison Mojica,Apertura 2023A,3.0,7.0,4.0,2.0,78.65,0.0,20.0,15.0,2.0,7.0,0.0,4.0,291.0,41.0,,,,,
Fortaleza CEIF,Hayen Palacios,Clausura 2024B,4.0,4.0,27.0,0.0,77.97,0.0,23.0,17.39,14.0,33.0,0.0,1.0,269.0,9.0,,,,,
Fortaleza CEIF,Hayen Palacios,Apertura 2024A,0.0,16.0,28.0,1.0,73.49,4.0,27.0,0.0,9.0,28.0,0.0,1.0,305.0,7.0,,,,,
Envigado FC,Hayen Palacios,Clausura 2023B,1.0,1.0,3.0,0.0,65.48,1.0,8.0,12.5,3.0,11.0,1.0,0.0,55.0,2.0,,,,,
Rionegro Águilas Doradas,Hayen Palacios,Apertura 2023A,0.0,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,
Rionegro Águilas Doradas,Hector Arango,Clausura 2024B,0.0,0.0,0.0,0.0,77.11,0.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,0.0,15.0,0.0,0.0,4.0,2.0
Rionegro Águilas Doradas,Hector Arango,Apertura 2024A,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,3.0,1.0
Rionegro Águilas Doradas,Hector Arango,Apertura 2023A,0.0,0.0,0.0,0.0,84.21,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,4.0,0.0
Envigado FC,Heiler Mosquera,Apertura 2023A,0.0,0.0,2.0,0.0,64.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,,,,,
Millonarios,Helibelton Palacios,Apertura 2025A,0.0,0.0,2.0,0.0,88.35,0.0,4.0,0.0,4.0,5.0,0.0,0.0,91.0,3.0,,,,,
